path,action,dest,bucket,rationale,risk
.gitignore,keep,,A-keep,Part of runtime or repo tooling/docs.,low
desktop.ini,delete,,D-delete,Windows artifact (junk).,low
docs/accessibility_inclusivity_audit.md,keep,,A-keep,Part of runtime or repo tooling/docs.,low
docs/BankHealthIntegrationNotes.md,keep,,A-keep,Part of runtime or repo tooling/docs.,low
docs/data-layer-contract.md,keep,,A-keep,Part of runtime or repo tooling/docs.,low
docs/DEPLOY_NOTES_Bundle1_2.md,keep,,A-keep,Part of runtime or repo tooling/docs.,low
docs/desktop.ini,delete,,D-delete,Windows artifact (junk).,low
docs/difficulty_refactor.md,keep,,A-keep,Part of runtime or repo tooling/docs.,low
docs/difficultyPolicy_v1.md,keep,,A-keep,Part of runtime or repo tooling/docs.,low
docs/gamification_engagement_ideas.md,keep,,A-keep,Part of runtime or repo tooling/docs.,low
docs/implementation_notes.md,keep,,A-keep,Part of runtime or repo tooling/docs.,low
docs/multi_language_expansion_plan.md,keep,,A-keep,Part of runtime or repo tooling/docs.,low
docs/protips_plan.md,keep,,A-keep,Part of runtime or repo tooling/docs.,low
docs/README.md,keep,,A-keep,Part of runtime or repo tooling/docs.,low
docs/README_PATCH.md,keep,,A-keep,Part of runtime or repo tooling/docs.,low
eslint.config.js,keep,,A-keep,Part of runtime or repo tooling/docs.,low
index.html,keep,,A-keep,Part of runtime or repo tooling/docs.,low
package.json,keep,,A-keep,Part of runtime or repo tooling/docs.,low
package-lock.json,keep,,A-keep,Part of runtime or repo tooling/docs.,low
public/desktop.ini,delete,,D-delete,Windows artifact (junk).,low
public/vite.svg,keep,,A-keep,Part of runtime or repo tooling/docs.,low
README.md,keep,,A-keep,Part of runtime or repo tooling/docs.,low
server/desktop.ini,delete,,D-delete,Windows artifact (junk).,low
server/index.cjs,keep,,A-keep,Part of runtime or repo tooling/docs.,low
src/.gitignore,move,docs/_repo_hygiene/src_gitignore_archived/.gitignore,C-quarantine,Redundant; root .gitignore already covers patterns. Archive for reference.,low
src/ai/aiClient.ts,keep,,A-keep,Part of runtime or repo tooling/docs.,low
src/ai/desktop.ini,delete,,D-delete,Windows artifact (junk).,low
src/App.tsx,keep,,A-keep,Part of runtime or repo tooling/docs.,low
src/assets/desktop.ini,delete,,D-delete,Windows artifact (junk).,low
src/assets/react.svg,keep,,A-keep,Part of runtime or repo tooling/docs.,low
src/components/BackLink.tsx,keep,,A-keep,Part of runtime or repo tooling/docs.,low
src/components/DailyMixPlayer.tsx,keep,,A-keep,Part of runtime or repo tooling/docs.,low
src/components/desktop.ini,delete,,D-delete,Windows artifact (junk).,low
src/components/MathText.tsx,keep,,A-keep,Part of runtime or repo tooling/docs.,low
src/components/MentorPanel.tsx,keep,,A-keep,Part of runtime or repo tooling/docs.,low
src/components/planner/desktop.ini,delete,,D-delete,Windows artifact (junk).,low
src/components/planner/StudyPlannerView.tsx,keep,,A-keep,Part of runtime or repo tooling/docs.,low
src/components/topicHub/ConceptCard.tsx,keep,,A-keep,Part of runtime or repo tooling/docs.,low
src/components/topicHub/ConceptDetail.tsx,keep,,A-keep,Part of runtime or repo tooling/docs.,low
src/components/topicHub/desktop.ini,delete,,D-delete,Windows artifact (junk).,low
src/components/WeeklyWrappedCarousel.tsx,keep,,A-keep,Part of runtime or repo tooling/docs.,low
src/contentDrafts/desktop.ini,delete,,D-delete,Windows artifact (junk).,low
src/contentDrafts/maths/blueprintConfig.ts,move,docs/_drafts/src_contentDrafts/maths/blueprintConfig.ts,C-quarantine,Draft content not used by runtime; move out of src to keep launch repo clean.,low
