path,action,reason
desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
docs/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
docs/_repo_hygiene/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
docs/_repo_hygiene/src_gitignore_archived/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
public/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
server/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
src/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
src/ai/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
src/assets/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
src/components/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
src/components/planner/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
src/components/topicHub/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
src/contentDrafts/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
src/contentDrafts/maths/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
src/contentDrafts/maths/trig/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
src/contentDrafts/practice/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
src/contentDrafts/prediction/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
src/contentDrafts/science/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
src/contentDrafts/topicHub/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
src/context/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
src/data/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
src/data/_sources/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
src/data/_sources/science/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
src/dev/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
src/domain/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
src/engine/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
src/hooks/desktop.ini,DELETE,Windows OS artifact (desktop.ini). Safe to remove; add to .gitignore.
