priority,status,owner_primary,owner_support,subject_id,unit_id,chapter_id,chapter_title,tier,recommended_concept_packs,visual_min,completeness_score_pct,gap_summary,acceptance_criteria
P0,TODO,Science Content Lead,TopicHub Content Engineer,science,S10_U2,S10_CH_CONTROL_COORD,Control and Co-ordination,high-roi,14,5,66.67,"Missing: content_config, daily_mix_seed",Create chapter content config in src/data/class10ContentConfig.ts with exam-usable concept notes + examples. Map chapter to dailyMixSeeds with must-crack question IDs.
P0,TODO,Science Content Lead,TopicHub Content Engineer,science,S10_U2,S10_CH_HEREDITY_EVOL,Heredity and Evolution,high-roi,12,3,66.67,"Missing: content_config, daily_mix_seed",Create chapter content config in src/data/class10ContentConfig.ts with exam-usable concept notes + examples. Map chapter to dailyMixSeeds with must-crack question IDs.
P0,TODO,Science Content Lead,Assessment QA Lead,science,S10_U2,S10_CH_LIFE_PROC,Life Processes,must-crack,18,5,83.33,Missing: predicted_bank,Add predicted question coverage (minimum 5 tagged items across section mix) for this chapter.
P0,TODO,Science Content Lead,TopicHub Content Engineer,science,S10_U2,S10_CH_REPROD,Reproduction,must-crack,14,4,66.67,"Missing: content_config, daily_mix_seed",Create chapter content config in src/data/class10ContentConfig.ts with exam-usable concept notes + examples. Map chapter to dailyMixSeeds with must-crack question IDs.
P1,IN_PROGRESS,Maths Content Lead,Assessment QA Lead,maths,M10_U6,M10_CH_AREA_CIRC,Areas Related to Circles,good-to-do,8,4,66.67,"Missing: hpq_bank, daily_mix_seed",Add HPQ bucket with board-style MCQ/short/case coverage and confidence metadata. Map chapter to dailyMixSeeds with must-crack question IDs.
P1,IN_PROGRESS,Maths Content Lead,Assessment QA Lead,maths,M10_U4,M10_CH_CIRCLES,Circles,high-roi,8,4,66.67,"Missing: hpq_bank, daily_mix_seed",Add HPQ bucket with board-style MCQ/short/case coverage and confidence metadata. Map chapter to dailyMixSeeds with must-crack question IDs.
P1,IN_PROGRESS,Maths Content Lead,Assessment QA Lead,maths,M10_U3,M10_CH_COORD_GEOM,Coordinate Geometry,high-roi,7,3,83.33,Missing: hpq_bank,Add HPQ bucket with board-style MCQ/short/case coverage and confidence metadata.
P1,IN_PROGRESS,Maths Content Lead,Assessment QA Lead,maths,M10_U6,M10_CH_SA_VOLUMES,Surface Areas and Volumes,high-roi,10,4,66.67,"Missing: hpq_bank, daily_mix_seed",Add HPQ bucket with board-style MCQ/short/case coverage and confidence metadata. Map chapter to dailyMixSeeds with must-crack question IDs.
P1,IN_PROGRESS,Science Content Lead,TopicHub Content Engineer,science,S10_U5,S10_CH_ENV,Our Environment,good-to-do,10,3,66.67,"Missing: content_config, daily_mix_seed",Create chapter content config in src/data/class10ContentConfig.ts with exam-usable concept notes + examples. Map chapter to dailyMixSeeds with must-crack question IDs.
P2,IN_PROGRESS,Science Content Lead,Growth Content Ops,science,S10_U1,S10_CH_ACIDS_BASES,"Acids, Bases and Salts",must-crack,14,4,83.33,Missing: daily_mix_seed,Map chapter to dailyMixSeeds with must-crack question IDs.
